Web_Link,URN,School_name,Ofsted_phase,Ofsted_region,Local_authority,Postcode,Total_number_of_pupils,Inspection_start_date,Inspection_end_date,Publication_date,Does_the_latest_graded_inspection_relate_to_the_URN_of_the_current_school,Overall_effectiveness,Category_of_concern,Quality_of_education,Behaviour_and_attitudes,Personal_development,Effectiveness_of_leadership_and_management,Safeguarding_is_effective,lat,lon
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104239,104239,St Francis Catholic Primary School,Primary,West Midlands,Walsall,WS4 1RH,198,2022-01-03,2022-02-03,2022-05-23,Yes,Good,,Good,Good,Good,Good,Yes,52.6173754,-1.9528194
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104240,104240,St Mary of the Angels Catholic Primary School,Primary,West Midlands,Walsall,WS9 0HA,231,2012-12-12,2012-12-13,2013-01-14,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5991598,-1.9150803
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104241,104241,"St Anne's Catholic Primary School, Streetly",Primary,West Midlands,Walsall,B74 3PL,238,2013-09-24,2013-09-25,2013-10-16,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.5790242,-1.8922036
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104255,104255,St Francis of Assisi Catholic College,Secondary,West Midlands,Walsall,WS9 0RN,1132,2013-05-16,2013-05-17,2013-10-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5992032,-1.9095993
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104259,104259,"St Thomas More Catholic School, Willenhall",Secondary,West Midlands,Walsall,WV14 7BL,1470,2022-11-10,2022-12-10,2022-11-24,Yes,Good,,Good,Good,Good,Good,Yes,52.5742899,-2.0539639
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104290,104290,Bushbury Hill Primary School,Primary,West Midlands,Wolverhampton,WV10 8BY,304,2014-06-17,2014-06-18,2014-11-07,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.61750675,-2.1081453
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104294,104294,Fallings Park Primary School,Primary,West Midlands,Wolverhampton,WV10 8BN,726,2022-04-26,2022-04-27,2022-06-16,Yes,Good,,Good,Good,Good,Good,Yes,52.611263,-2.1041645
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104297,104297,Whitgreave Primary School,Primary,West Midlands,Wolverhampton,WV10 9JP,469,2023-01-25,2023-01-26,2023-03-13,Yes,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,Yes,52.6125064,-2.1171984
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104302,104302,Graiseley Primary School,Primary,West Midlands,Wolverhampton,WV2 4NE,222,2018-02-10,2018-03-10,2018-10-22,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.57645,-2.13178
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104303,104303,Springdale Primary  School,Primary,West Midlands,Wolverhampton,WV4 4NJ,454,2019-05-14,2019-05-15,2019-06-13,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.56339,-2.1681
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104304,104304,Rakegate Primary School,Primary,West Midlands,Wolverhampton,WV10 6US,435,2018-03-13,2018-03-14,2018-04-17,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.6200492,-2.1399861
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104310,104310,Claregate Primary School,Primary,West Midlands,Wolverhampton,WV6 9JU,406,2016-06-14,2016-06-15,2016-07-13,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.6077556,-2.1545547
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104311,104311,Castlecroft Primary School,Primary,West Midlands,Wolverhampton,WV3 8HS,243,2013-07-11,2013-08-11,2013-11-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5789478,-2.1824991
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104312,104312,Westacre Infant School,Primary,West Midlands,Wolverhampton,WV3 9EP,316,2021-09-14,2021-09-15,2021-11-10,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.5814717,-2.1712203
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104315,104315,Loxdale Primary School,Primary,West Midlands,Wolverhampton,WV14 0AU,430,2014-11-19,2014-11-20,2014-11-12,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5607943,-2.074855
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104317,104317,Stowlawn Primary School,Primary,West Midlands,Wolverhampton,WV14 6EH,341,2013-01-15,2013-01-16,2013-01-31,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5763027,-2.0884344
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104320,104320,Long Knowle Primary School,Primary,West Midlands,Wolverhampton,WV11 1EB,234,2016-01-19,2016-01-20,2016-12-02,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.61256,-2.09007
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104322,104322,Wood End Primary School,Primary,West Midlands,Wolverhampton,WV11 1YQ,235,2015-05-21,2015-05-22,2015-12-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.6104,-2.08192
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104323,104323,Stow Heath Primary School,Primary,West Midlands,Wolverhampton,WV13 3TT,491,2017-03-05,2017-04-05,2017-07-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.58052,-2.0758899
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104325,104325,Wilkinson Primary School,Primary,West Midlands,Wolverhampton,WV14 8UR,484,2012-05-30,2012-05-31,2012-06-21,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5542356,-2.0670815
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104327,104327,Lanesfield Primary School,Primary,West Midlands,Wolverhampton,WV4 6BZ,331,2014-02-25,2014-02-26,2014-03-19,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5571854,-2.1038755
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104330,104330,Spring Vale Primary School,Primary,West Midlands,Wolverhampton,WV4 6SD,368,2019-09-10,2019-10-10,2019-11-18,Yes,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,Yes,52.5599287,-2.114211
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104332,104332,Uplands Junior School,Primary,West Midlands,Wolverhampton,WV3 8BA,383,2012-11-14,2012-11-15,2012-04-12,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5788978,-2.1666648
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104334,104334,Merridale Primary School,Primary,West Midlands,Wolverhampton,WV3 0UP,237,2014-02-27,2014-02-28,2014-03-04,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.58128,-2.14699
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104342,104342,Eastfield Primary School,Primary,West Midlands,Wolverhampton,WV1 2QY,405,2013-01-17,2013-01-18,2013-06-02,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5847612,-2.1064712
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104344,104344,Warstones Primary School,Primary,West Midlands,Wolverhampton,WV4 4LU,484,2022-06-15,2022-06-16,2022-09-21,Yes,Good,,Good,Outstanding,Outstanding,Outstanding,Yes,52.568109,-2.161682
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104345,104345,Wodensfield Primary School,Primary,West Midlands,Wolverhampton,WV11 1PW,468,2014-12-16,2014-12-17,2015-01-19,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.6047927,-2.0907412
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104350,104350,Dovecotes Primary School,Primary,West Midlands,Wolverhampton,WV8 1TX,274,2023-06-13,2023-06-14,2023-07-27,Yes,Good,,Good,Good,Good,Good,Yes,52.6186437,-2.1562319
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104362,104362,Christ Church (Church of England) Infant and Nursery School,Primary,West Midlands,Wolverhampton,WV6 8EL,213,2012-03-26,2012-03-27,2012-04-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5901139,-2.183494
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104366,104366,Christ Church (Church of England) Junior School,Primary,West Midlands,Wolverhampton,WV6 8LG,224,2017-05-12,2017-06-12,2018-09-01,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.5938826,-2.1769848
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104372,104372,St Luke's Church of England Aided Primary School,Primary,West Midlands,Wolverhampton,WV2 3AE,462,2014-11-11,2014-12-11,2014-11-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.57134845,-2.12862565
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104378,104378,Holy Trinity Catholic Primary School,Primary,West Midlands,Wolverhampton,WV14 7PD,261,2014-01-29,2014-01-30,2014-02-25,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.566927133,-2.069820233
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104382,104382,St Paul's Church of England Aided Primary School,Primary,West Midlands,Wolverhampton,WV9 5NR,238,2022-09-27,2022-09-28,2022-10-11,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Requires Improvement,Requires Improvement,Yes,52.6223736,-2.1441074
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104384,104384,St Michael's Church of England Aided Primary School,Primary,West Midlands,Wolverhampton,WV6 9AF,202,2017-05-12,2017-06-12,2018-04-01,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.598519825,-2.16083575
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104387,104387,St Matthias School,Secondary,West Midlands,Wolverhampton,WV1 2BH,867,2016-03-17,2016-03-18,2016-04-27,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.5860902,-2.087142
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104395,104395,Colton Hills Community School,Secondary,West Midlands,Wolverhampton,WV4 5DG,1002,2015-05-14,2015-05-15,2015-12-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5613718,-2.1364442
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/104939,104939,Short Wood Primary School,Primary,West Midlands,Telford and Wrekin,TF1 2JA,558,2015-11-03,2015-12-03,2015-04-20,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.6939416,-2.5110701
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116645,116645,Almeley Primary School,Primary,West Midlands,Herefordshire,HR3 6LH,47,2014-01-30,2014-01-31,2014-02-27,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.1585436,-2.9728006
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116646,116646,Crown Meadow First School & Nursery,Primary,West Midlands,Worcestershire,B48 7TA,322,2012-06-13,2012-06-14,2012-06-29,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.35531315,-1.962234083
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116650,116650,Ashton-under-Hill First School,Primary,West Midlands,Worcestershire,WR11 7SW,95,2011-01-17,2011-01-18,2011-03-02,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.04199585,-2.00281405
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116652,116652,Beoley First School,Primary,West Midlands,Worcestershire,B98 9AN,96,2014-10-09,2014-11-09,2014-03-10,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.324044533,-1.895959167
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116656,116656,Broadway First School,Primary,West Midlands,Worcestershire,WR12 7BD,92,2016-12-13,2016-12-14,2017-09-02,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.040952,-1.8545528
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116658,116658,Catshill First School,Primary,West Midlands,Worcestershire,B61 0JP,327,2013-12-02,2013-02-13,2013-04-03,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.362572,-2.0577374
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116659,116659,Charford First School,Primary,West Midlands,Worcestershire,B60 3NH,508,2017-05-12,2017-06-12,2018-10-01,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.3218459,-2.0610459
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116660,116660,Finstall First School,Primary,West Midlands,Worcestershire,B60 2HS,296,2015-04-21,2015-04-22,2015-05-15,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.331292146,-2.049061223
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116661,116661,Lickey End First School,Primary,West Midlands,Worcestershire,B60 1JG,146,2021-09-29,2021-09-30,2021-11-23,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Good,Requires Improvement,Yes,52.3514396,-2.0446342
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116662,116662,Meadows First School,Primary,West Midlands,Worcestershire,B61 0AH,332,2019-12-03,2019-03-13,2019-02-05,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.34022175,-2.05969525
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116663,116663,Millfields First School,Primary,West Midlands,Worcestershire,B61 7BS,288,2014-12-03,2014-03-13,2014-02-04,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.3281022,-2.0744321
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116665,116665,Blackwell First School,Primary,West Midlands,Worcestershire,B60 1BN,153,2011-01-26,2011-01-27,2011-02-16,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.3508523,-2.0154491
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116668,116668,Clifford Primary School,Primary,West Midlands,Herefordshire,HR3 5HA,86,2012-10-10,2012-11-10,2012-05-11,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.093856,-3.0704201
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116669,116669,Clifton upon Teme Primary School,Primary,West Midlands,Worcestershire,WR6 6DE,86,2012-12-13,2012-12-14,2013-01-15,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.250874,-2.4206519
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116670,116670,Dodford First School,Primary,West Midlands,Worcestershire,B61 9AW,72,2023-05-17,2023-05-18,2023-06-22,Yes,Good,,Good,Good,Good,Good,Yes,52.3479839,-2.0996611
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116671,116671,Westlands First School,Primary,West Midlands,Worcestershire,WR9 9EQ,253,2020-01-28,2020-01-29,2020-01-03,Yes,Good,,Good,Good,Good,Good,Yes,52.275612533,-2.165999433
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116672,116672,Chawson First School,Primary,West Midlands,Worcestershire,WR9 8BW,337,2015-02-25,2015-02-26,2015-03-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.2598335,-2.1604088
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116673,116673,Swan Lane First School,Primary,West Midlands,Worcestershire,WR11 4QA,325,2023-03-13,2023-03-14,2023-05-18,Yes,Good,,Good,Good,Good,Good,Yes,52.095223369,-1.944136794
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116674,116674,Ewyas Harold Primary School,Primary,West Midlands,Herefordshire,HR2 0EY,108,2014-02-07,2014-03-07,2014-05-09,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,51.9530497,-2.89178815
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116675,116675,Fairfield First School,Primary,West Midlands,Worcestershire,B61 9LZ,125,2020-02-25,2020-02-26,2020-03-16,Yes,Good,,Good,Good,Good,Good,Yes,52.3745198,-2.0765243
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116676,116676,Flyford Flavell Primary School,Primary,West Midlands,Worcestershire,WR7 4BS,104,2016-11-22,2016-11-23,2017-06-01,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.1924977,-2.0303612
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116677,116677,Garway Primary School,Primary,West Midlands,Herefordshire,HR2 8RQ,104,2016-07-06,2016-08-06,2016-06-07,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,51.9005123,-2.783033533
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116678,116678,Hagley Primary School,Primary,West Midlands,Worcestershire,DY9 0NS,629,2022-07-06,2022-08-06,2022-09-21,Yes,Good,,Good,Outstanding,Outstanding,Outstanding,Yes,52.421672,-2.1379648
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116679,116679,Broadlands Primary School,Primary,West Midlands,Herefordshire,HR1 1HY,120,2022-11-10,2022-12-10,2022-11-28,Yes,Good,,Good,Good,Good,Good,Yes,52.06415,-2.69609
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116680,116680,Hampton Dene Primary School,Primary,West Midlands,Herefordshire,HR1 1RT,265,2014-01-23,2014-01-24,2014-02-14,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.05510845,-2.6860589
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116684,116684,Marlbrook Primary School,Primary,West Midlands,Herefordshire,HR2 7NT,644,2022-02-11,2022-03-11,2022-12-14,Yes,Good,,Good,Good,Outstanding,Good,Yes,52.0397911,-2.7257526
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116685,116685,St Martin's Primary School,Primary,West Midlands,Herefordshire,HR2 6AF,371,2019-07-16,2019-07-17,2019-09-16,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.0462526,-2.7190212
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116686,116686,Trinity Primary School,Primary,West Midlands,Herefordshire,HR4 0NU,559,2013-10-16,2013-10-17,2014-02-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.0676615,-2.7427266
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116701,116701,Kington Primary School,Primary,West Midlands,Herefordshire,HR5 3AL,213,2016-05-17,2016-05-18,2016-06-13,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.2029825,-3.03225835
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116702,116702,Ledbury Primary School,Primary,West Midlands,Herefordshire,HR8 2BE,393,2023-06-14,2023-06-15,2023-07-27,Yes,Good,,Good,Good,Outstanding,Outstanding,Yes,52.0392111,-2.4308668
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116705,116705,Longtown Community Primary School,Primary,West Midlands,Herefordshire,HR2 0LE,74,2014-06-17,2014-06-18,2014-08-07,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,51.9577299,-2.9904765
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116707,116707,Luston Primary School,Primary,West Midlands,Herefordshire,HR6 0EA,106,2014-09-18,2014-09-19,2014-10-23,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.265168,-2.7566455
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116708,116708,Madley Primary School,Primary,West Midlands,Herefordshire,HR2 9PH,206,2014-12-11,2014-11-13,2014-12-20,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.0446817,-2.8488661
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116714,116714,Michaelchurch Escley Primary School,Primary,West Midlands,Herefordshire,HR2 0PT,65,2016-06-21,2016-06-22,2016-07-19,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.0131235,-3.0067382
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116715,116715,Pebworth First School,Primary,West Midlands,Worcestershire,CV37 8XA,26,2018-05-16,2018-05-17,2018-06-21,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.1196348,-1.8091218
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116716,116716,Abbey Park First and Nursery School,Primary,West Midlands,Worcestershire,WR10 1DF,180,2023-02-03,2023-03-03,2023-05-18,Yes,Good,,Good,Good,Good,Good,Yes,52.1103206,-2.081830533
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116718,116718,Peterchurch Primary School,Primary,West Midlands,Herefordshire,HR2 0RP,92,2012-01-05,2012-02-05,2012-05-21,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.041622067,-2.954928967
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116721,116721,Batchley First and Nursery School,Primary,West Midlands,Worcestershire,B97 6PD,303,2023-06-06,2023-07-06,2023-07-13,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.306524633,-1.962399367
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116729,116729,Tenacres First School,Primary,West Midlands,Worcestershire,B98 0PB,275,2011-04-10,2011-05-10,2011-10-20,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.3026182,-1.8894182
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116730,116730,Woodrow First School,Primary,West Midlands,Worcestershire,B98 7UZ,297,2014-10-15,2014-10-16,2014-07-11,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.28450355,-1.9169649
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116731,116731,Ashfield Park Primary School,Primary,West Midlands,Herefordshire,HR9 5AU,334,2015-02-06,2015-03-06,2015-06-24,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,51.9106067,-2.5892081
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116734,116734,Shobdon Primary School,Primary,West Midlands,Herefordshire,HR6 9LX,87,2014-05-02,2014-06-02,2014-02-28,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.2506541,-2.8821827
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116735,116735,Stoke Prior First School,Primary,West Midlands,Worcestershire,B60 4ND,151,2013-09-25,2013-09-26,2013-10-17,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.3033679,-2.083822927
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116736,116736,Stoke Prior Primary School,Primary,West Midlands,Herefordshire,HR6 0ND,94,2023-11-07,2023-12-07,2023-09-20,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.2068931,-2.6908221
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116743,116743,Walford Nursery & Primary School,Primary,West Midlands,Herefordshire,HR9 5SA,201,2013-08-05,2013-09-05,2013-05-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,51.8859135,-2.5926203
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116745,116745,Wellington Primary School and Nursery,Primary,West Midlands,Herefordshire,HR4 8AZ,60,2012-09-13,2012-09-14,2012-10-22,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.1292634,-2.7362888
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116746,116746,Weobley Primary School,Primary,West Midlands,Herefordshire,HR4 8ST,208,2013-10-16,2013-10-17,2013-11-11,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.1553766,-2.86773145
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116748,116748,Withington Primary School,Primary,West Midlands,Herefordshire,HR1 3QE,80,2023-07-18,2023-07-19,2023-09-25,Yes,Good,,Good,Good,Good,Good,Yes,52.0888884,-2.6363389
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/116763,116763,Meadow Green Primary School,Primary,West Midlands,Worcestershire,B47 6EQ,294,2017-12-07,2017-07-13,2017-11-09,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.3745275,-1.882106
